?class	?label	?definition
<http://purl.obolibrary.org/obo/ENVO_01000566>	"lamp"	"A lamp is an object which generates heat, light, or any other form of radiation."
<http://purl.obolibrary.org/obo/ENVO_01000582>	"landline telephone"	"A landline telephone is a telephone which is connected to a telephone network with wires through which electronic signals are carried."
<http://purl.obolibrary.org/obo/ENVO_01000565>	"lantern"	"A lantern is a portable device or mounted fixture comprising a light source protected by a translucent case."
<http://purl.obolibrary.org/obo/ENVO_01000519>	"latrine"	"A latrine is a toilet which is of simple construction (relative to a flush or chemical toilet) and typically intended for communal use."
<http://purl.obolibrary.org/obo/ENVO_01000520>	"latrine slab"	"A latrine slab is a  broad, flat, thick piece of solid material (typically stone or concrete) used as the floor of a latrine and which includes a hole through which excreta are deposited into a latrine pit."
<http://purl.obolibrary.org/obo/ENVO_02000081>	"letter"	"A written message from one person to another addressed to a person or organization."
<http://purl.obolibrary.org/obo/ENVO_01000564>	"mantle lamp"	"A mantle lamp is a central-draught lamp which includes a pear-shaped, fabric mesh containing thorium or other rare-earth salts placed over the burner. On first use the fabric burns away and the rare-earth salts are converted to oxides, leaving a very fragile structure which incandesces (glows brightly) upon exposure to the heat of the burner flame."
<http://purl.obolibrary.org/obo/ENVO_01000625>	"manufactured cage"	"A manufactured structure made of interspaced structural elements such as metal or wooden bars or wires held together such that they may be used to confine, contain, or protect something."
<http://purl.obolibrary.org/obo/ENVO_01000404>	"manufactured plastic"	"A (portion of) plastic is an (portion of) anthropogenic environmental material including any of numerous organic synthetic or processed materials which are primarily composed of thermoplastic or thermosetting polymers of high molecular weight."
<http://purl.obolibrary.org/obo/ENVO_00003074>	"manufactured product"	"A material entity that has been processed by humans or their technology in any way, including intermediate products as well as final products."
<http://purl.obolibrary.org/obo/ENVO_01000457>	"masonry unit"	"A masonry unit is a solid piece of material, usually with a regular shape, used as a component in the construction of buildings. Masonry units are usually composed of brick, stone, marble, granite, travertine, limestone, cast stone, concrete block, glass block, stucco, tile, or cob."
<http://purl.obolibrary.org/obo/ENVO_01000590>	"mattress"	"A mattress is a mass of material which is able to cushion and support a reclining body and is used as or on a bed."
<http://purl.obolibrary.org/obo/ENVO_00010621>	"medical instrument"	
<http://purl.obolibrary.org/obo/ENVO_01000620>	"mesocosm"	"A mesocosm is a vivarium that is embedded within a natural environment and is used to place a relatively small part of that environment under experimental control for the purposes of scientific investigation."
<http://purl.obolibrary.org/obo/ENVO_01000621>	"microcosm"	"A microcosm is a vivarium within which a simple ecosystem is artificially established and used to simulate and predict the behaviour of natural ecosystems under controlled conditions."
<http://purl.obolibrary.org/obo/ENVO_01000581>	"mobile phone"	"A mobile phone is a telephone which transmits sound information to a mobile phone network via radio transmissions."
<http://purl.obolibrary.org/obo/ENVO_01000610>	"motor"	"A motor is a machine designed to convert one or more forms of energy into mechanical energy."
<http://purl.obolibrary.org/obo/ENVO_01000609>	"motor boat"	"A motor boat is a boat which is propelled by a motor."
<http://purl.obolibrary.org/obo/ENVO_01000601>	"motor vehicle"	"A motor vehicle is a vehicle which is propelled by an engine or motor and that does not operate on rails."
<http://purl.obolibrary.org/obo/ENVO_01000615>	"motorcycle"	"A motorcycle is a two- or three-wheeled motor vehicle."
<http://purl.obolibrary.org/obo/ENVO_01000616>	"motorscooter"	"A scooter or motor scooter is a motorcycle with step-through frame and a platform for the rider's feet."
<http://purl.obolibrary.org/obo/ENVO_00002183>	"oil tank"	"A manufactured container within which oil or other petrochemical products are stored and which these products are usually transported to end users or further storage facilities."
<http://purl.obolibrary.org/obo/ENVO_00003895>	"paper product"	
<http://purl.obolibrary.org/obo/ENVO_01000561>	"paraffin lamp"	"A paraffin lamp is a type of lighting device which burns paraffin to generate light and heat."
<http://purl.obolibrary.org/obo/ENVO_01000567>	"paraffin lantern"	"A paraffin lantern is a lantern which houses a parrafin lamp in a structure of soldered or crimped-together sheet metal stampings and glass or other translucent material."
<http://purl.obolibrary.org/obo/ENVO_01000866>	"photovoltaic system"	"A photovoltaic system is a power system designed to supply usable solar power by means of photovoltaics. It consists of an arrangement of several components, including solar panels to absorb and convert sunlight into electricity, a solar inverter to change the electric current from DC to AC, as well as mounting, cabling and other electrical accessories to set up a working system."
<http://purl.obolibrary.org/obo/ENVO_01000587>	"piece of furniture"	"A piece of furniture is a movable object intended to support various human activities such as seating (e.g., chairs, stools and sofas) and sleeping (e.g., beds)."
<http://purl.obolibrary.org/obo/ENVO_01000517>	"pit latrine"	"A pit latrine is a latrine which is constructed by digging a hole in the ground."
<http://purl.obolibrary.org/obo/ENVO_01000523>	"pit latrine with slab floor"	"A pit latrine with a slab floor is a pit latrine which has a latrine slab as a floor."
<http://purl.obolibrary.org/obo/ENVO_01000976>	"pitfall trap"	"An animal trap which consists of a container set flush with the ground such that animals moving along the ground may fall in and be available for examination or collection."
<http://purl.obolibrary.org/obo/ENVO_01000989>	"plumbing fixture"	"An exchangeable device which can be connected to a plumbing system to deliver and drain water."
<http://purl.obolibrary.org/obo/ENVO_01000535>	"pour-flush pit latrine"	"A pit latrine which includes a water seal (U-trap or siphon) used over one or two offset pits instead of a plain hole or seat. Water is manually poured through the trap to flush excreta into the latrine pit."
<http://purl.obolibrary.org/obo/ENVO_01000534>	"pour-flush toilet fixture"	"A flush toilet fixture into which water is manually poured to dispose of excreta."
<http://purl.obolibrary.org/obo/ENVO_01000597>	"pressure lamp"	"A pressure lamp is a portable paraffin or oil lamp in which fuel is forced up into the mantle or burner by air pressure in the reservoir, which can be increased by pumping with a plunger."
<http://purl.obolibrary.org/obo/ENVO_01000783>	"public utility line"	"A utility line which services the public power grid."
<http://purl.obolibrary.org/obo/ENVO_01000577>	"radio device"	"A device capable of receiving and/or transmitting information encoded in electromagnetic radiation through wave modulation."
<http://purl.obolibrary.org/obo/ENVO_01000461>	"refined asphalt"	"Refined asphalt is a sticky, black, and highly viscous liquid or semi-solid with a boiling point above 500 degrees Celsius, obtained from the fractional distillation of crude oil."
<http://purl.obolibrary.org/obo/ENVO_01000583>	"refrigerator"	"A refrigerator is a device which consists of a thermally insulated compartment and a mechanical, chemical, or electronic heat pump that transfers heat from the inside of the fridge to its external environment such that the inside of the fridge is cooled to a temperature below the ambient temperature of the room"
<http://purl.obolibrary.org/obo/ENVO_00002197>	"saline water aquarium"	"A saline water aquarium is an aquarium which contains saline water as its primary ecological medium."
<http://purl.obolibrary.org/obo/ENVO_01000992>	"shower fixture"	"A plumbing fixture within which a human or other animal may bathe under a spray of water."
<http://purl.obolibrary.org/obo/ENVO_01000990>	"sink fixture"	"A plumbing fixture which is bowl-shaped and used for washing hands, dishwashing, and other purposes."
<http://purl.obolibrary.org/obo/ENVO_01000588>	"sofa"	"A sofa is a bench which is partially or entirely upholstered, and often fitted with springs and tailored cushions."
<http://purl.obolibrary.org/obo/ENVO_01000867>	"solar panel array"	"A group of solar panels, typically belonging to the same photovoltaic system, arranged to maximise interception of solar radiation."
<http://purl.obolibrary.org/obo/ENVO_00002210>	"sulfide-oxidizing bioreactor"	
<http://purl.obolibrary.org/obo/ENVO_01000584>	"table"	"A table is a form of furniture with a flat horizontal upper surface used to support objects, for storage, show, and/or manipulation."
<http://purl.obolibrary.org/obo/ENVO_01000612>	"taxicab"	"A taxicab is a car which may be hired, along with its operator, to transport passengers between locations of their choosing."
<http://purl.obolibrary.org/obo/ENVO_01000580>	"telephone"	"A telephone is a telecommunications device which converts sound into electronic signals suitable for transmission via cables or other transmission media, and reconverts such signals into sound waves."
<http://purl.obolibrary.org/obo/ENVO_01000579>	"television set"	"A television set is a device that combines a tuner, display, and loudspeakers for the purpose of converting digital or analog information signals into moving images and sound."
<http://purl.obolibrary.org/obo/ENVO_00000349>	"terrarium"	"A terrarium is a vivarium which simulates a terrestrial environment."
<http://purl.obolibrary.org/obo/ENVO_02000001>	"textile"	"A textile is a manufactured product comprised of a network of natural or artificial fibers (often referred to as thread or yarn)."
<http://purl.obolibrary.org/obo/ENVO_00002211>	"thermophilic anaerobic methanogenic reactor"	
<http://purl.obolibrary.org/obo/ENVO_01000514>	"tile"	"A tile is a manufactured piece of hard-wearing material such as ceramic, stone, metal, or even glass, generally used for covering roofs, floors, walls, showers, or other objects such as tabletops. Alternatively, tile can sometimes refer to similar units made from lightweight materials such as perlite, wood, and mineral wool, typically used for wall and ceiling applications."
<http://purl.obolibrary.org/obo/ENVO_01000516>	"toilet fixture"	"A fixture which is used primarily for the collection and, in some cases, disposal of human urine and feces."
<http://purl.obolibrary.org/obo/ENVO_01000602>	"truck"	"A truck is a motor vehicle which, as its primary funcion, transports cargo rather than human passangers."
<http://purl.obolibrary.org/obo/ENVO_01000568>	"tubular paraffin lantern"	"A tubular paraffin lantern is a paraffin lantern which includes metal tubes in its casing that direct air to the burning wick."
<http://purl.obolibrary.org/obo/ENVO_02000052>	"umbrella"	"A canopy designed to protect against precipitation or sunlight."
<http://purl.obolibrary.org/obo/ENVO_01000502>	"unburnt brick"	"An unburnt brick is a brick which has been air dried rather than dried at an elvated temperature in a kiln, furnace, or with similar technology ."
<http://purl.obolibrary.org/obo/ENVO_01000782>	"utility line"	"A cable used to trasmit electricity from its point of production to its point of consumption."
<http://purl.obolibrary.org/obo/ENVO_01000604>	"vehicle"	"A vehicle is a mobile machine which transports people or cargo."
<http://purl.obolibrary.org/obo/ENVO_01000530>	"ventilated improved pit latrine"	"A ventilated improved pit latrine is a pit latrine which includes a vent pipe fitted to the pit with a flyscreen covering the pipe's outlet. Air currents moving across the outlet of the vent pipe create a vaccum which draws odors out of the latrine's superstructure."
<http://purl.obolibrary.org/obo/ENVO_00010622>	"vivarium"	"A vivarium is an enclosure for keeping and raising organisms for observation or research. Often, a portion of the ecosystem for a particular species is simulated on a smaller scale, with controls for environmental conditions."
<http://purl.obolibrary.org/obo/ENVO_01000603>	"water truck"	"A water truck is a truck which transports water."
<http://purl.obolibrary.org/obo/ENVO_01000613>	"watercraft"	"A watercraft is a vehicle which is able to travel on or through water."
<http://purl.obolibrary.org/obo/ENVO_01000978>	"wet pitfall trap"	"A pitfall trap in which the container used to hold trapped animals is filled with a liquid solution formulated to hold, kill, and preserve any animal or animals which falls within it."
