?class	?label	?definition
<http://purl.obolibrary.org/obo/ENVO_01000286>	"dimictic lake"	"A dimitic lake is a holomictic lake which mixes from top to bottom during two mixing periods each year. Mixing typically occurs during the spring and autumn, when the lake is \"isothermal\" (i.e., at the same temperature from the top to the bottom). At this time the water throughout the lake is about 4°C, and, in the absence of any temperature or density differences, the lake readily mixes from top to bottom. These lakes are common in regions with temperate climates."
<http://purl.obolibrary.org/obo/ENVO_00000430>	"dirt cone"	"A feature of a glacier, in which dirt, which has fallen into a hollow in the ice, forms a coating which insulates the ice below. The surrounding ice melts away, leaving the dirt cone."
<http://purl.obolibrary.org/obo/ENVO_03501143>	"discharge unit facility"	"A hospital unit facility which houses patients ready to leave the hospital facility."
<http://purl.obolibrary.org/obo/ENVO_00000069>	"distributary"	"A stream that branches off and flows away from a main stream channel. They are a common feature of river deltas."
<http://purl.obolibrary.org/obo/ENVO_00000037>	"ditch"	"A small, human-made channel which has been dug for draining or irrigating the land."
<http://purl.obolibrary.org/obo/ENVO_00000518>	"ditch mouth"	"The exit or point of discharge of a ditch."
<http://purl.obolibrary.org/obo/ENVO_00002158>	"ditch water"	
<http://purl.obolibrary.org/obo/ENVO_01001338>	"diurnal marine tidal flow zone"	"A marine zone in which ocean waters undergo a diurnal (once per day) tidal oscillation - with one high and one low tide per day - due to the supression of a second daily oscillation by the geometry of the ocean basin and obstructions presented by land masses."
<http://purl.obolibrary.org/obo/ENVO_00000558>	"diversionary dam"	"A dam designed to divert all or a portion of the flow of a river from its natural course."
<http://purl.obolibrary.org/obo/ENVO_00000332>	"doline"	"A closed depression draining underground in karst, of simple but variable form, e.g. cylindrical, conical, bowl- or dish-shaped. From a few to many hundreds of metres in dimensions."
<http://purl.obolibrary.org/obo/ENVO_00000336>	"doline karst"	"Karst dominated by closed depressions, chiefly dolines, perforating a simple surface."
<http://purl.obolibrary.org/obo/ENVO_01001480>	"domestic building"	"A building which is primarily used for the long-term habitation of humans."
<http://purl.obolibrary.org/obo/ENVO_01000419>	"domestic garden"	"A garden that is associated with a human house. This association is generally one of spatial proximity or parthood."
<http://purl.obolibrary.org/obo/ENVO_01000868>	"domestic solar panel array"	"A solar panel array that is integrated into the power system of a human dwelling."
<http://purl.obolibrary.org/obo/ENVO_03501342>	"dormitory"	"A room which contains 1) a number of beds for sleeping and 2) often some other furniture and/or residential utilities."
<http://purl.obolibrary.org/obo/ENVO_00000291>	"drainage basin"	"An extent or area of land where surface water from rain and melting snow or ice converges to a single point at lower elevation, usually the exit of the basin, where the waters join another waterbody."
<http://purl.obolibrary.org/obo/ENVO_00000042>	"drainage canal"	"Artificial watercourse with no flow or a controlled flow used drainage."
<http://purl.obolibrary.org/obo/ENVO_00000140>	"drainage ditch"	"A ditch that collects water from the surrounding land."
<http://purl.obolibrary.org/obo/ENVO_03501245>	"drawbridge"	"A bridge which is hinged and can be raised."
<http://purl.obolibrary.org/obo/ENVO_01001517>	"drift ice mass"	"A floating mass of ice which is 1) unattached to land or land-fast ice and 2) moved by the action of winds or currents."
